게임명	제조사	가격	평점
1.  Minecraft	Mojang	US$6.99	90.1
2.  Evoland 2	Playdigious	US$0.99	85.8
3.  Bloons TD 6	ninja kiwi	US$4.99	93.0
4.  Geometry Dash	RobTop Games	US$1.99	95.2
5.  Grand Theft Auto: San Andreas	Rockstar Games	US$6.99	86.5
6.  Poly Bridge	Dry Cactus Limited	US$0.99	91.4
7.  The Game of Life	Marmalade Game Studio	US$2.99	87.2
8.  NBA 2K19	2K, Inc.	US$7.99	76.6
9.  Rusted Warfare - RTS Strategy	Corroding games	US$0.99	95.4
10.  Evoland	Playdigious	US$0.99	88.1
11.  Terraria.	505 Games Srl	US$4.99	85.3
12.  Game Dev Tycoon	Greenheart Games	US$4.99	97.8
13.  킹덤 러쉬 벤전스 (Kingdom Rush Vengeance)	Ironhide Game Studio	US$4.99	94.3
14.  미니 메트로	Dinosaur Polo Club	US$0.99	95.9
15.  Bloons TD 5	ninja kiwi	US$2.99	91.5
16.  Scribblenauts Remix	Warner Bros. International Enterprises	US$0.99	84.5
17.  히트맨 스나이퍼 (Hitman Sniper)	SQUARE ENIX Ltd	US$0.99	91.7
18.  Incredibox	So Far So Good	US$3.99	96.8
19.  Five Nights at Freddy's	Scott Cawthon	US$2.99	91.5
20.  The Room	Fireproof Games	US$0.99	95.5
21.  Grand Theft Auto: Vice City	Rockstar Games	US$4.99	85.1
22.  Cluedo	Marmalade Game Studio	US$1.99	91.5
23.  Bendy and the Ink Machine	Joey Drew Studios	US$6.99	79.2
24.  Pocket City	Codebrew Games	US$3.99	92.5
25.  This War of Mine	11 bit studios	US$2.99	90.5
26.  Civilization Revolution 2	2K, Inc.	US$4.99	78.3
27.  Age of Civilizations II	Łukasz Jakowski	US$1.99	87.1
28.  Papa's Freezeria To Go!	Flipline Studios	US$0.99	88.0
29.  True Skate	True Axis	US$1.99	87.5
30.  Five Nights at Freddy's: SL	Scott Cawthon	US$2.99	89.9
31.  60 Seconds! Atomic Adventure	Robot Gentleman	US$3.99	78.0
32.  Monument Valley 2	ustwo games	US$4.99	93.2
33.  어쌔신 크리드 아이덴티티	Ubisoft Entertainment	US$1.99	75.1
34.  Scribblenauts Unlimited	Warner Bros. International Enterprises	US$4.99	87.3
35.  Exploding Kittens® - Official	Exploding Kittens	US$1.99	93.3
36.  Fruit Ninja Classic	Halfbrick Studios	US$0.99	85.4
37.  The Room: Old Sins	Fireproof Games	US$4.99	98.8
38.  RollerCoaster Tycoon® Classic	Atari, Inc.	US$5.99	81.8
39.  Farming Simulator 18	GIANTS Software	US$4.99	88.6
40.  ePSXe for Android	epsxe software s.l.	US$3.75	90.1
41.  Five Nights at Freddy's 2	Scott Cawthon	US$2.99	92.4
42.  Five Nights at Freddy's 4	Scott Cawthon	US$2.99	91.8
43.  Goat Simulator	Coffee Stain Publishing	US$4.99	85.7
44.  ROME: Total War	Feral Interactive	US$9.99	90.5
45.  My OldBoy! - GBC Emulator	Fast Emulator	US$3.99	92.0
46.  Star Wars™: KOTOR	Aspyr Media, Inc.	US$9.99	89.7
47.  Monument Valley	ustwo games	US$3.99	95.3
48.  Call of Duty:Black Ops Zombies	Activision Publishing, Inc.	US$6.99	83.3
49.  The Escapists 2: Pocket Breakout	Team 17 Digital Limited	US$6.99	89.8
50.  Star Traders: Frontiers	Trese Brothers	US$6.99	95.0
51.  The House of Da Vinci	Blue Brain Games s.r.o.	US$4.99	95.3
52.  Grand Theft Auto III	Rockstar Games	US$4.99	79.7
53.  EvoCreo	ilmfinity	US$0.99	86.5
54.  FINAL FANTASY TACTICS : WotL	SQUARE ENIX Co.,Ltd.	US$11.99	84.8
55.  The Room Two	Fireproof Games	US$1.99	97.4
56.  The Room Three	Fireproof Games	US$3.99	98.4
57.  Shadow of Death: 어둠의 기사 - 스틱맨 액션	Zonmob Game Studio	US$0.99	92.2
58.  Don't Starve: Pocket Edition	Klei Entertainment Inc.	US$4.99	88.3
59.  Angry Neighbor	Invictus Studio	US$1.49	87.1
60.  Cytus II (사이터스Ⅱ)	Rayark International Limited	US$1.99	93.7
